sample_index,time_s,time_error_s
153,1.53,-4.73722734441401e-11
154,1.54,-5.04324170393121e-11
155,1.55,-4.56956491012897e-11
156,1.56,-4.8022776888575e-11
157,1.57,-4.3899523703367e-11
158,1.58,-4.23576908245909e-11
159,1.59,-4.16680330188792e-11
160,1.6,-5.06557365814183e-11
161,1.61,-4.77657649270018e-11
162,1.62,-5.07669930418181e-11
163,1.63,-5.71405103901534e-11
164,1.64,-6.80785940587343e-11
165,1.65,-6.72578648717764e-11
166,1.66,-6.59034628735538e-11
167,1.67,-7.56411462302739e-11
168,1.68,-7.56398263313724e-11
169,1.69,-7.94518272571145e-11
170,1.7,-7.85742929175865e-11
171,1.71,-8.79763557878305e-11
172,1.72,-8.58555137962981e-11
173,1.73,-8.78205343043067e-11
174,1.74,-7.82923535253986e-11
175,1.75,-8.54786331979284e-11
176,1.76,-8.90747530220283e-11
177,1.77,-9.32977272458382e-11
178,1.78,-8.67967222801992e-11
179,1.79,-7.98332278918936e-11
180,1.8,-8.2673274548175e-11
181,1.81,-8.12521358530524e-11
182,1.82,-7.09615273342147e-11
183,1.83,-7.01479066593163e-11
184,1.84,-6.9925471560922e-11
185,1.85,-7.99899637922721e-11
186,1.86,-9.2313522402154e-11
187,1.87,-8.59618740256309e-11
188,1.88,-7.64339451272347e-11
189,1.89,-7.53708973571029e-11
190,1.9,-7.75720684952998e-11
191,1.91,-8.08758444098128e-11
192,1.92,-7.60252992127235e-11
193,1.93,-6.71690728484501e-11
194,1.94,-6.22758040071216e-11
195,1.95,-5.56373406399656e-11
196,1.96,-5.26516500077136e-11
197,1.97,-6.42185357633975e-11
198,1.98,-7.15684857846477e-11
199,1.99,-6.42251440216336e-11
200,2,-6.2576350908857e-11
201,2.01,-6.92547084880372e-11
202,2.02,-8.03401087666004e-11
203,2.03,-7.54442415385289e-11
204,2.04,-8.17156915735959e-11
205,2.05,-8.64104836596251e-11
206,2.06,-8.62219006770736e-11
207,2.07,-8.37420108736977e-11
208,2.08,-7.84292411935276e-11
209,2.09,-8.11535928667722e-11
210,2.1,-8.02571988575729e-11
211,2.11,-8.44644541700676e-11
212,2.12,-8.62056186723108e-11
213,2.13,-8.32204500820948e-11
214,2.14,-8.05008051252442e-11
215,2.15,-7.3697147616819e-11
216,2.16,-7.20560939910007e-11
217,2.17,-7.12806629722479e-11
218,2.18,-7.77142748868422e-11
219,2.19,-8.01312404253974e-11
220,2.2,-8.27715784391943e-11
221,2.21,-8.71200992836026e-11
222,2.22,-7.23260875628542e-11
223,2.23,-7.42434500108641e-11
224,2.24,-6.46172231998008e-11
225,2.25,-6.27928091000376e-11
226,2.26,-5.89320165111867e-11
227,2.27,-5.89137220273355e-11
228,2.28,-5.73351001224656e-11
229,2.29,-5.73260131591074e-11
230,2.3,-6.05225365955651e-11
231,2.31,-5.6971356071999e-11
232,2.32,-6.07117080270998e-11
233,2.33,-7.07314788051701e-11
234,2.34,-6.99581604497984e-11
235,2.35,-8.18675241898201e-11
236,2.36,-7.54855991005891e-11
237,2.37,-7.06062975176054e-11
238,2.38,-6.05548812271936e-11
239,2.39,-6.35998818531211e-11
240,2.4,-7.77218347744477e-11
241,2.41,-7.26901416670614e-11
242,2.42,-7.44025390411819e-11
243,2.43,-6.71494661636131e-11
244,2.44,-5.28314509346595e-11
245,2.45,-5.06031313667316e-11
246,2.46,-5.36655580834187e-11
247,2.47,-5.52446717754551e-11
248,2.48,-5.18241092657036e-11
249,2.49,-5.49725671101158e-11
250,2.5,-5.9464308116057e-11
251,2.51,-5.89295291313952e-11
252,2.52,-4.89784147152459e-11
253,2.53,-4.41764974941407e-11
254,2.54,-4.41683961113346e-11
255,2.55,-4.87459352209352e-11
256,2.56,-4.66728677012533e-11
257,2.57,-4.04487850955466e-11
258,2.58,-4.46662377417672e-11
259,2.59,-4.48004845747302e-11
260,2.6,-4.04759843363865e-11
261,2.61,-3.55166094181199e-11
262,2.62,-3.4287454972796e-11
263,2.63,-3.06649802825636e-11
264,2.64,-3.31903635834621e-11
265,2.65,-3.60875277210039e-11
266,2.66,-3.1958303062103e-11
267,2.67,-2.86681081492004e-11
268,2.68,-2.24733001441481e-11
269,2.69,-1.97993089769159e-11
270,2.7,-2.00382897254753e-11
271,2.71,-2.04700515284696e-11
272,2.72,-1.81970715677633e-11
273,2.73,-1.80611083423396e-11
274,2.74,-1.6014889834553e-11
275,2.75,-1.48141199718041e-11
276,2.76,-5.74975964647631e-12
277,2.77,-7.01297532781762e-12
278,2.78,-9.50611817730645e-12
279,2.79,-1.5838584906385e-11
280,2.8,-1.48231468005238e-11
281,2.81,-2.12032299408123e-11
282,2.82,-2.20055557601869e-11
283,2.83,-2.12886619853629e-11
284,2.84,-2.67721672395915e-11
285,2.85,-2.51883288952568e-11
286,2.86,-3.09192988161543e-11
287,2.87,-3.41416297205858e-11
288,2.88,-3.08055013506157e-11
289,2.89,-3.35889367811554e-11
290,2.9,-3.86940893414464e-11
291,2.91,-3.87667049662674e-11
292,2.92,-3.57624210080853e-11
293,2.93,-4.46514661270383e-11
294,2.94,-4.32253394489477e-11
295,2.95,-5.31513906631839e-11
296,2.96,-5.80277828978311e-11
297,2.97,-5.79963797655857e-11
298,2.98,-5.75721533861067e-11
299,2.99,-5.65057349280341e-11
300,3,-5.4964863330741e-11
301,3.01,-4.08366868561275e-11
302,3.02,-4.07946668288754e-11
303,3.03,-4.18099571700415e-11
304,3.04,-3.75241912296581e-11
305,3.05,-4.07613096702571e-11
306,3.06,-4.19145034069739e-11
307,3.07,-4.67388841634509e-11
308,3.08,-5.14739193272932e-11
309,3.09,-4.84263506487099e-11
310,3.1,-4.39815288924269e-11
311,3.11,-4.06586428792138e-11
312,3.12,-4.17124236537392e-11
313,3.13,-5.03503181507158e-11
314,3.14,-5.55313868581013e-11
315,3.15,-5.84266551034283e-11
316,3.16,-5.83413144530818e-11
317,3.17,-5.63507761837532e-11
318,3.18,-5.21237003012096e-11
319,3.19,-5.6242829073229e-11
320,3.2,-4.9379303819317e-11
321,3.21,-4.53000086075981e-11
322,3.22,-4.47149683338645e-11
323,3.23,-4.26725941667323e-11
324,3.24,-4.33196745241439e-11
325,3.25,-4.78546029891199e-11
326,3.26,-4.95014000438398e-11
327,3.27,-4.77050444701073e-11
328,3.28,-5.41924760320576e-11
329,3.29,-5.72751366085942e-11
330,3.3,-6.10482296309863e-11
331,3.31,-6.68791847492221e-11
332,3.32,-5.58541413836775e-11
333,3.33,-5.41116022132268e-11
334,3.34,-5.42229950548175e-11
335,3.35,-6.25985207427309e-11
336,3.36,-6.29979440212368e-11
337,3.37,-6.348663426218e-11
338,3.38,-6.85849198787291e-11
339,3.39,-7.00237551647273e-11
340,3.4,-7.0795358420273e-11
341,3.41,-6.77374798786245e-11
342,3.42,-6.48120824342593e-11
343,3.43,-7.02635078057323e-11
344,3.44,-7.11772471719047e-11
345,3.45,-6.80743514717215e-11
346,3.46,-6.82583470936472e-11
347,3.47,-6.26159352543047e-11
348,3.48,-5.96681693378612e-11
349,3.49,-6.57482805145035e-11
350,3.5,-7.77393564835157e-11
351,3.51,-7.39139296668404e-11
352,3.52,-8.5265474852192e-11
353,3.53,-8.36832908897407e-11
354,3.54,-7.43792246587372e-11
355,3.55,-7.31980795591534e-11
356,3.56,-7.52623349786826e-11
357,3.57,-7.41695969044607e-11
358,3.58,-7.53324345974405e-11
359,3.59,-7.4607089579534e-11
360,3.6,-6.70252019873433e-11
361,3.61,-6.99031285236882e-11
362,3.62,-6.19439540416099e-11
363,3.63,-5.82087991259901e-11
364,3.64,-6.20454470348147e-11
365,3.65,-6.68258418334176e-11
366,3.66,-7.25838398517563e-11
367,3.67,-7.52446052047817e-11
368,3.68,-7.335475044785e-11
369,3.69,-8.17597269791973e-11
370,3.7,-8.45878648516591e-11
371,3.71,-7.84974926105302e-11
372,3.72,-8.48706992380322e-11
373,3.73,-8.16449885800161e-11
374,3.74,-8.5305894938747e-11
375,3.75,-9.29342681729091e-11
376,3.76,-9.06939721793513e-11
377,3.77,-8.74642190080829e-11
378,3.78,-8.56344828591923e-11
379,3.79,-8.26201650252866e-11
380,3.8,-7.37095435913456e-11
381,3.81,-7.73883007439871e-11
382,3.82,-8.22821474136506e-11
383,3.83,-7.8443058963769e-11
384,3.84,-7.38320501510018e-11
385,3.85,-6.42378616014588e-11
386,3.86,-6.5381858352094e-11
387,3.87,-6.74150011910909e-11
388,3.88,-6.31713993358855e-11
389,3.89,-6.74394411613279e-11
390,3.9,-6.08758267487927e-11
391,3.91,-5.75142857543969e-11
392,3.92,-5.90685289554947e-11
393,3.93,-5.42846419364465e-11
394,3.94,-5.17446528269191e-11
395,3.95,-5.7299041921894e-11
396,3.96,-5.11226712920181e-11
397,3.97,-5.14552368615328e-11
398,3.98,-4.75599551238211e-11
399,3.99,-5.0237241199274e-11
400,4,-4.77884693931561e-11
401,4.01,-4.89369492526619e-11
402,4.02,-6.33177384376864e-11
403,4.03,-5.41076642483144e-11
404,4.04,-5.9645363949149e-11
405,4.05,-6.48978468805924e-11
406,4.06,-5.67173689245166e-11
407,4.07,-5.02719601255724e-11
408,4.08,-4.94738444823615e-11
409,4.09,-4.88659203421064e-11
410,4.1,-4.961114182613e-11
411,4.11,-5.34985688459434e-11
412,4.12,-5.65499448961337e-11
413,4.13,-5.49412279750727e-11
414,4.14,-4.81789682841748e-11
415,4.15,-4.22557215144824e-11
416,4.16,-4.01333230936476e-11
417,4.17,-5.1319949908429e-11
418,4.18,-5.17378389610109e-11
419,4.19,-6.83523646992787e-11
420,4.2,-6.86123573846917e-11
421,4.21,-7.04703409740918e-11
422,4.22,-6.50347095485597e-11
423,4.23,-6.87086901884943e-11
424,4.24,-8.09271615047144e-11
425,4.25,-8.83921870907233e-11
426,4.26,-8.29885309310402e-11
427,4.27,-8.06504768163413e-11
428,4.28,-9.02267689308321e-11
429,4.29,-9.65142611052545e-11
430,4.3,-9.4972681246727e-11
431,4.31,-1.01225711244182e-10
432,4.32,-9.36307495601512e-11
433,4.33,-9.22014468522542e-11
434,4.34,-9.93404386538306e-11
435,4.35,-1.04237743363848e-10
436,4.36,-9.65963299591242e-11
437,4.37,-1.00037674125042e-10
438,4.38,-1.0367956751586e-10
439,4.39,-1.00633570801495e-10
440,4.4,-8.9554896884776e-11
441,4.41,-8.17441847780958e-11
442,4.42,-7.88773942090774e-11
443,4.43,-8.17102990198715e-11
444,4.44,-8.82673348685546e-11
445,4.45,-8.48105569480541e-11
446,4.46,-8.40919712574369e-11
447,4.47,-8.51590090588845e-11
448,4.48,-8.02797317403221e-11
449,4.49,-8.60041305541557e-11
450,4.5,-8.61144506760658e-11
451,4.51,-9.31387245728299e-11
452,4.52,-9.40409137858877e-11
453,4.53,-1.03520112941665e-10
454,4.54,-1.11695390833878e-10
455,4.55,-1.20684383411126e-10
456,4.56,-1.1811501852212e-10
457,4.57,-1.14243202667221e-10
458,4.58,-1.13867475320154e-10
459,4.59,-1.07949149446631e-10
460,4.6,-1.10311324161132e-10
461,4.61,-1.12245790386234e-10
462,4.62,-1.06774302499045e-10
463,4.63,-1.11103728188758e-10
464,4.64,-1.01635099865368e-10
465,4.65,-1.17339141256386e-10
466,4.66,-1.09741522733539e-10
467,4.67,-1.15451843202154e-10
468,4.68,-1.13251076649079e-10
469,4.69,-1.12452316366449e-10
470,4.7,-9.96591405656558e-11
471,4.71,-1.04610755555514e-10
472,4.72,-1.03859307450634e-10
473,4.73,-1.00751469232809e-10
474,4.74,-1.00670343802316e-10
475,4.75,-9.92404893919622e-11
476,4.76,-9.6859485617097e-11
477,4.77,-9.89419863366849e-11
478,4.78,-9.66967079349891e-11
479,4.79,-9.59510549884649e-11
480,4.8,-8.81107611531817e-11
481,4.81,-1.00125727893247e-10
482,4.82,-1.06519241831923e-10
483,4.83,-1.03738113727812e-10
484,4.84,-9.85080823013965e-11
485,4.85,-9.9253142336555e-11
486,4.86,-9.80642569261393e-11
487,4.87,-1.00106643021157e-10
488,4.88,-1.05912190087387e-10
489,4.89,-1.06605636440997e-10
490,4.9,-1.08477892576645e-10
491,4.91,-1.0775819670894e-10
492,4.92,-1.13607096817295e-10
493,4.93,-1.08503168068568e-10
494,4.94,-1.01487652106905e-10
495,4.95,-1.00862219823546e-10
